CEWID,ParticipantName,DBA,ParticipantRole,ParticipantStatus,EffectiveDate,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZipcode,PhysicalCounty,MailingAddress,MailingCity,MailingState,MailingZipcode,PhoneNumber,PrimaryContact,PrimaryContactEmail
104165,"Coastal Inkjets, Inc.",,Collector,Active,3/7/2006,10023 Canoga Ave ,Chatsworth,CA,91311,Los Angeles,10023 Canoga Ave ,Chatsworth,CA,91311,(818) 534-2316,Stephen Jevtic,coastalinkjets@gmail.com
100172,Butte Regional Household Hazardous Waste Facility,,Collector,Active,1/1/2005,1101 Marauder St ,Chico,CA,95973,Butte,1111 Marauder St ,Chico,CA,95973,(866) 429-2288,Katie Flint,kflint@republicservices.com
101641,"Computers for Classrooms, Inc.",,Collector,Active,1/24/2005,411 Otterson Dr Ste 100,Chico,CA,95928,Butte,411 Otterson Dr Ste 100,Chico,CA,95928,(530) 895-4175,Louis Davis,ldavis@computersforclassrooms.org
114635,The Salvation Army Chico ARP,,Collector,Active,3/15/2013,13404 Browns Valley Dr ,Chico,CA,95973,Butte,13404 Browns Valley Dr ,Chico,CA,95973,(530) 342-2199,Matt Kroll,matthew.kroll@usw.salvationarmy.org
113018,"Attan Recycling, Corp.",,Collector/Recycler,Active,6/13/2011,13941 Norton Ave Unit D,Chino,CA,91710,San Bernardino,13941 Norton Ave Unit D,Chino,CA,91710,(909) 591-8408,Ruilan Chen,ginitachen@gmail.com
127516,Green World E-Waste Removal,(a DBA of Jorge Preciado),Collector,Active,5/20/2022,5197 G St Ste A,Chino,CA,91710,San Bernardino,5197 G St Ste A,Chino,CA,91710,(909) 315-1820,Jorge Preciado,techsolutionsusa@hotmail.com
127199,"Secure EWaste Management, Inc.",,Collector,Active,4/14/2023,5220 Edison Ave ,Chino,CA,91710,San Bernardino,5220 Edison Ave ,Chino,CA,91710,(909) 517-9148,Sophia Lu,sophia@sem-recycle.com
105736,"USA Waste of California, Inc. (Chino)",,Collector,Active,2/1/2007,13793 Redwood St ,Chino,CA,91710,San Bernardino,13793 Redwood St ,Chino,CA,91710,(800) 423-9986,Israel Martinez,imartine@wm.com
116525,San Diego E-Waste,(a DBA of Gavin Lee Summers),Collector,Active,6/3/2016,"645 Marsat Ct, Suite B ",Chula Vista,CA,91911,San Diego,"645 Marsat Ct, Suite B ",Chula Vista,CA,91911,(619) 657-3103,Gavin Summers,gavinsummers2@gmail.com
109547,The Salvation Army (San Diego),,Collector,Active,7/20/2012,366 Broadway ,Chula Vista,CA,91910,San Diego,7425 Otay Mesa Rd ,San Diego,CA,92154,(619) 239-4037,Paul Swain,paul.swain@usw.salvationarmy.org
127897,Earth Friendly Recycle Inc,,Collector,Active,5/2/2025,925 Canada Ct ,City of Industry,CA,91748,Los Angeles,925 Canada Ct ,City of Industry,CA,91748,(626) 525-2636,Jeffrey Hu,jeffreyhu98@gmail.com
103847,"Global eRecyclers, Inc.",,Collector,Active,5/27/2016,900 Turnbull Canyon Road ,City of Industry,CA,91745,Los Angeles,3579 E Foothill Blvd #183,Pasadena,CA,91107,(562) 321-9312,Jasmin Zavahir,Jasmin@globale-r.com
105895,"Grand Central Recycling & Transfer Station, Inc.",,Collector,Active,6/1/2010,999 S Hatcher Ave ,City of Industry,CA,91748,Los Angeles,17445 Railroad St ,City Of Industry,CA,91748,(626) 855-5538,Andrew Palomares,andrewpalomares@zerepmanagement.com
105907,"Valley Vista Services, Inc.",,Collector,Active,6/1/2010,17445 Railroad St ,City Of Industry,CA,91748,Los Angeles,17445 Railroad St ,City Of Industry,CA,91748,(626) 961-6291,Andrew Palomares,apalomares@zerepmanagement.com
103142,"Burrtec Waste Industries, Inc. (Coachella)",,Collector,Active,9/28/2005,87-011A Landfill Road ,Coachella,CA,92236,Riverside,9890 Cherry Ave ,Fontana,CA,92335,(951) 786-0544,Robin Harger,rharger@burrtec.com
116754,Coalinga Community Foundation,,Collector,Active,5/11/2017,198 W Forest Ave ,Coalinga,CA,93210,Fresno,P.O. Box 124 ,Coalinga,CA,93210,(559) 935-1053,Carol Castillo,tomd@onemain.com
116626,"Homeboy Recycling, a California social purpose corporation",,Collector,Active,12/16/2016,6433 Canning St ,Commerce,CA,90040,Los Angeles,6433 Canning St ,Commerce,CA,90040,(323) 222-3322,Ana Pacheco,apacheco@homeboyrecycling.com
115066,"Pleasant Paper Recycling, Inc.",,Collector,Active,6/27/2025,1320 Galaxy Way ,Concord,CA,94520,Contra Costa,P.O. Box 6628 ,Concord,CA,94524,(925) 689-3900,Meixi Luan,meixi@concordrecyclingcenter.com
110141,"Sun's Pad & Foam Recycling, Inc.",,Collector,Active,4/17/2009,108 Medburn St #B1,Concord,CA,94520,Contra Costa,108 Medburn St #B1,Concord,CA,94520,(925) 246-7990,Kimthoa Ngo,sunsrecycling@yahoo.com
103255,El Sobrante Landfill,(a DBA of USA Waste of California),Collector,Active,10/25/2005,10910 Dawson Canyon Rd ,Corona,CA,92883-5020,Riverside,10910 Dawson Canyon Rd ,Corona,CA,92883-5020,(951) 277-5100,David Meyer,dmeyer9@wm.com
117034,Gold'n West Surplus,"(a DBA of Transpere, LLC)",Collector,Active,12/13/2024,1691 N Delilah St ,Corona,CA,92879,Riverside,2451 W Grapevine Mills Cir PMB 100,Grapevine,TX,76051,(817) 609-3888,Rick Lewis,rick.lewis@transpere.com
112336,"Gold'n West Surplus, Inc.",,Collector,Active,2/14/2013,1691 N Delilah St ,Corona,CA,92879,Riverside,1691 N Delilah St ,Corona,CA,92879,(951) 371-2020,Gail Cordenis,gailgwsinc@aol.com
116412,Monitor And CRT Recyclers of California,(a DBA of John Cordenis and Gail Cordenis),Collector/Recycler,Active,2/22/2016,1691 North Delilah Street ,Corona,CA,92879,Riverside,1691 North Delilah Street ,Corona,CA,92879,(951) 258-5351,John Cordenis,macrecyclersca@aol.com
114908,"USA Waste of California, Inc. (Corona)",,Collector,Active,1/10/2013,800 S Temescal St ,Corona,CA,92879-2058,Riverside,800 S Temescal St ,Corona,CA,92879-2058,(951) 817-2499,David Morri,dmorri@wm.com
101798,HAMBRO/WSG,,Collector,Active,3/22/2007,1700 State St ,Crescent City,CA,95531,Del Norte,P.O. Box 159 ,Crescent City,CA,95531,(707) 465-4656,Joel Wallen,joel.wallen@hambrowsg.com
102629,Stanislaus County Fink Road Landfill,,Collector,Active,6/7/2005,4000 Fink Rd ,Crows Landing,CA,95313,Stanislaus,P.O. Box 86 ,Crows Landing,CA,95313,(209) 837-4800,Robert Kostlivy,rkostlivy@envres.org
108774,"Pena's Disposal, Inc.",,Collector,Active,12/15/2022,12094 Avenue 408 ,Cutler,CA,93615,Tulare,12094 Avenue 408 ,Cutler,CA,93615,(559) 528-3909,Adrian Meza,adrian@penasdisposal.com
127252,Allied Recycling,"(a DBA of Wojo Enterprises, Inc.)",Collector,Active,2/21/2020,1425 N Magnolia Ave ,El Cajon,CA,92020,San Diego,1425 N Magnolia Ave ,El Cajon,CA,92020,(619) 390-6637,Dale Wojczynski,alliedrecycling1@gmail.com
116258,Universal Waste Disposal,(a DBA of Lights Out Disposal Company),Collector,Active,10/6/2015,515 Raleigh Ave ,El Cajon,CA,92020,San Diego,5694 Mission Center Rd # 371,San Diego,CA,92108,(619) 438-1093,Russ Fieguth,rusty@universalwaste.com
103585,"Waste Management of California, Inc. (El Cajon)",,Collector,Active,11/7/2005,1001 W Bradley Ave ,El Cajon,CA,92020,San Diego,1001 W Bradley Ave ,El Cajon,CA,92020,(619) 596-5100,Tim Powers,tpowers1@wm.com
111654,Recycle International,(a DBA of Ivan Moran Gavero),Collector,Active,6/17/2011,3229 Durfee Ave ,El Monte,CA,91732,Los Angeles,3229 Durfee Ave ,El Monte,CA,91732,(323) 806-3163,Ivan A Moran,imoran38@gmail.com
109866,Solano Garbage Company,,Collector,Active,6/7/2010,2901 Industrial Ct ,Fairfield,CA,94533,Solano,P.O. Box B ,Fairfield,CA,94533,(707) 437-8900,Gina Vasquez,gvasquez2@republicservices.com
100467,"City of Folsom, Hazardous Materials",,Collector,Active,1/24/2005,1300 Leidesdorff St ,Folsom,CA,95630,Sacramento,50 Natoma St ,Folsom,CA,95630,(916) 461-6730,Marc Santiago III,msantiago@folsom.ca.us
127389,LOOPTECH ELECTRONIC SOLUTION,,Collector,Active,5/5/2021,11625 Industry Ave ,Fontana,CA,92337,San Bernardino,11625 Industry Ave ,Fontana,CA,92337,(951) 727-8713,Jia Xi Guo,contact@looptechesolution.com
116172,"TLC Auctions Holdings, LLC",,Collector,Active,6/4/2015,10012 Citrus Ave ,Fontana,CA,92335,San Bernardino,10022 Citrus Ave ,Fontana,CA,92335,(909) 823-3428,Brian Kim,brian@tlcauctions.com
103222,"West Valley MRF, LLC",,Collector,Active,9/15/2005,13373 Napa St ,Fontana,CA,92335,San Bernardino,13373 Napa St ,Fontana,CA,92335,(909) 899-0911,Sean Heasley,sheasley@burrtec.com
110072,Recology Eel River,,Collector,Active,3/12/2009,965 Riverwalk Dr ,Fortuna,CA,95540,Humboldt,P.O. Box 188 ,Samoa,CA,95564,(707) 725-5156,Canaan Abdulhadi,cabdulhadi@recology.com
101457,Allied Waste Services of Alameda County,"(a DBA of Allied Waste Services of North America, LLC)",Collector,Active,4/13/2007,42600 Boyce Rd ,Fremont,CA,94538,Alameda,42600 Boyce Rd ,Fremont,CA,94538,(510) 657-3500,Joe Chu,jchu@republicservices.com
116703,Evergreen IT Solutions,(a DBA of JFG Asset Management),Collector,Active,3/29/2017,37390 Centralmont Pl ,Fremont,CA,94536,Alameda,37390 Centralmont Pl ,Fremont,CA,94536,(408) 612-1667,Juan Gonzalez,jgonzalez@evergreenitmanagement.com
108499,Fremont Recycling and Transfer Station,"(a DBA of BLT Enterprises of Fremont, LLC)",Collector,Active,5/23/2008,41149 Boyce Rd ,Fremont,CA,94538,Alameda,41149 Boyce Rd ,Fremont,CA,94538,(510) 252-0500,Rich Dubiel,rdubiel@blt-enterprises.com
103392,Surplus Service,(a DBA of Aleia Corp.),Collector,Active,9/9/2005,3090 Osgood Ct ,Fremont,CA,94539,Alameda,2335 Stewart Ave ,Walnut Creek,CA,94596,(510) 226-0600,Ryan Ramondetta,ryanr@surplusservice.com
116273,"Y2K Electronics Recycling, LLC",,Collector,Active,11/20/2015,44875 Industrial Dr Suite C,Fremont,CA,94538,Alameda,44875 Industrial Dr Suite C,Fremont,CA,94538,(510) 925-9919,Jose Gonzalez,jose@y2krecycling.com
102425,"Cedar Avenue Recycling and Transfer Station, LP",,Collector,Active,5/9/2008,3457 S Cedar Ave ,Fresno,CA,93725,Fresno,P.O. Box 446 ,Fresno,CA,93709,(559) 233-1158,Drake Montgomery,drakem@cagliarecycling.com
127947,College HUNKS Hauling Junk and Moving Fresno,(a DBA of Phlorez Industries Corp.),Collector,Active,7/3/2025,5845 E Terrace Ave ,Fresno,CA,93727,Fresno,5845 E Terrace Ave ,Fresno,CA,93727,(559) 696-5865,Art Flores,art.flores@chhj.com
116742,D & S Electronic Recycling,"(a DBA of Ricky Bernard Dunn, Jr.)",Collector,Active,4/21/2017,1310 N Crystal Ave Ste 104,Fresno,CA,93728,Fresno,1310 N Crystal Ave Ste 104,Fresno,CA,93728,(559) 498-0580,"Ricky B. Dunn, Jr.",info@dunnandson.net
102436,Dunn and Son Recycling,(a DBA of Ricky Dunn Sr),Collector,Active,10/15/2025,1253 Kern St ,Fresno,CA,93706,Fresno,3143 Matoian Way #323,Fresno,CA,93710,(559) 264-7782,"Ricky Dunn, Sr.",rdunnson@gmail.com
114247,"Electronic Recyclers of America, LLC",,Collector/Recycler,Active,5/3/2012,3243 S East Ave Suite 108,Fresno,CA,93725,Fresno,7815 N Palm Ave Suite 140,Fresno,CA,93711,(800) 374-3473,Aaron Blum,ablum@eridirect.com
103927,Fresno County Economic Opportunities Commission,,Collector,Active,7/14/2011,1805 E California Ave ,Fresno,CA,93706,Fresno,1920 Mariposa Mall Ste 300,Fresno,CA,93721,(559) 264-1048,Shawn Riggins,shawn.riggins@fresnoeoc.org
127617,Fresno Rescue Mission,,Collector,Active,3/30/2023,181 E Sierra Ave ,Fresno,CA,93710,Fresno,1850 E Griffith Way ,Fresno,CA,93726,(559) 440-0870,Sandra Patel,spatel@fresnomission.org
104677,Salvation Army Adult Rehabilitation Center (Fresno),,Collector,Active,6/19/2006,804 S Parallel Ave ,Fresno,CA,93721,Fresno,804 S Parallel Ave ,Fresno,CA,93721,(559) 490-7020,Elias Alejandro,elias.alejandro@usw.salvationarmy.org
104861,"California Waste Recovery Systems, LLC",,Collector,Active,6/28/2006,175 Enterprise Ct Ste A,Galt,CA,95632,Sacramento,175 Enterprise Ct Ste A,Galt,CA,95632,(209) 369-6887,Karlee Kane,karleekane@cal-waste.com
117046,California Electronics Recycler,(a DBA of e-Waste Services LLC),Collector,Active,6/19/2020,14235 Commerce Dr ,Garden Grove,CA,92843,Orange,14235 Commerce Dr ,Garden Grove,CA,92843,(714) 424-9109,Octavio DeLaTorre,Octavio@californiaelectronics.com
127885,E Waste Guardians,(a DBA of JDT Tech Inc),Collector,Active,1/10/2025,7281 Garden Grove Blvd Ste A,Garden Grove,CA,92841,Orange,7281 Garden Grove Blvd Ste A,Garden Grove,CA,92841,(619) 362-2565,Salahaldin M Alkhawaja,sales@ewasteguardians.com
127908,"Garcia Recycling Center and Metals, Inc.",,Collector,Active,5/16/2025,13862 Seaboard Cir ,Garden Grove,CA,92843,Orange,13862 Seaboard Cir ,Garden Grove,CA,92843,(714) 554-3213,Reymundo Garcia,garciarecycling@sbcglobal.net
103379,"ALLIED WASTE SERVICES OF NORTH AMERICA, LLC",,Collector,Active,5/5/2023,14905 S San Pedro St ,Gardena,CA,90248,Los Angeles,14905 S San Pedro St ,Gardena,CA,90248,(562) 254-4020,Devin Kincaid,DKincaid@republicservices.com
116083,"EcoSpot Recycling, Inc.",,Collector/Recycler,Active,2/10/2015,13800 Van Ness Ave ,Gardena,CA,90249,Los Angeles,13800 Van Ness Ave ,Gardena,CA,90249,(310) 971-9465,Michael Cohen,mcohen@ecospotrecycling.com
113406,"Pacific Coast Recycling, Inc.",,Collector,Active,9/2/2021,5895 Obata Way ,Gilroy,CA,95020,Santa Clara,5895 Obata Way ,Gilroy,CA,95020,(408) 848-6811,Roy Whitmore,roy.w@pacificcoastrecycling.com
112768,"Safe Way Recycling & Recovery, Inc.",,Collector,Active,12/6/2019,21516 Main Street Ste B,Grand Terrace,CA,92313,San Bernardino,21516 Main Street Ste B,Grand Terrace,CA,92313,(951) 742-5719,Jose S Murguia,tuchosa@yahoo.com
102254,"Strawflower Electronics, Inc.",,Collector,Active,2/5/2010,160 San Mateo Rd Ste B,Half Moon Bay,CA,94019,San Mateo,160 San Mateo Rd Ste B,Half Moon Bay,CA,94019,(650) 726-8181,Travis Tyson,strawflower1_electronics@outlook.com
103745,Kings Waste & Recycling Authority,,Collector,Active,1/18/2006,7803 Hanford Armona Rd ,Hanford,CA,93230,Kings,P.O. Box 1027 ,Hanford,CA,93232,(559) 583-8829,Parveen Sandhu,psandhu@kwrarecycles.net
108114,George Chambers,,Collector,Active,8/14/2008,65600 Hockaday Rd ,Happy Camp,CA,96039,Siskiyou,P.O. Box 789 ,Happy Camp,CA,96039,(530) 493-5388,George M. Chambers,hcchamb@sisqtel.net
100365,e Recycling of California (Hayward),,Collector/Recycler,Active,2/28/2018,31702 Hayman St ,Hayward,CA,94544,Alameda,P.O. Box 2746 ,Santa Fe Springs,CA,90670,(800) 795-0993,Lesli Mejia,lmejia@erecyclingofca.com
116196,"Omega JV, Inc.",,Collector,Active,5/3/2019,3449 Enterprise Ave ,Hayward,CA,94545,Alameda,3449 Enterprise Ave ,Hayward,CA,94545,(510) 582-1960,Julio Venegas Rosas,omegarecycle@yahoo.com
115226,Partners and Advocates for Remarkable Children and Adults (PARCA),,Collector,Active,9/5/2023,2200 Commerce Place ,Hayward,CA,94545,Alameda,2200 Commerce Place ,Hayward,CA,94545,(650) 312-0725,Joel Bouza,joelb@parca.org
116451,Helendale Community Services District,,Collector,Active,4/14/2016,26540 Vista Rd Ste A,Helendale,CA,92342,San Bernardino,P.O. Box 359 ,Helendale,CA,92342,(760) 951-0006,Cheryl Vermette,cvermette@helendalecsd.org
111346,Advance Disposal Co.,"(a DBA of Best Way Disposal Co., Inc.)",Collector,Active,8/1/2011,17105 Mesa St ,Hesperia,CA,92345,San Bernardino,P.O. Box 400725 ,Hesperia,CA,92345,(760) 244-9773,Luisa Quintero,luisaq@advancedisposal.com
113543,Neill's Recycling,,Collector,Active,8/29/2012,31816 Hwy 74 ,Homeland,CA,92548,Riverside,24480 Macfie Rd ,Homeland,CA,92548,(951) 514-8656,Brent Neill,superbrentpower@gmail.com
127249,"Beachside Recycling, Inc.",,Collector,Active,1/8/2020,8601 Edison Drive Unit B,Huntington Beach,CA,92646,Orange,8601 Edison Drive Unit B,Huntington Beach,CA,92646,(714) 969-7638,Alejandra Garcia,alejandra@beachsiderecycling.com
114349,Desert Arc Shredding & Recycling,(a DBA of DesertArc),Collector,Active,6/14/2012,45875 Commerce St ,Indio,CA,92201,Riverside,45875 Commerce St ,Indio,CA,92201,(760) 404-1370,Angelique Ontiveros,aontiveros@desertarc.org
101151,Sunset Environmental,"(a DBA of Waste Management Collection and Recycling, Inc.)",Collector,Active,1/3/2014,16122 Construction Cir W ,Irvine,CA,92606,Orange,16122 Construction Cir E ,Irvine,CA,92606-4403,(949) 552-0446,Mario Zavala,mzavala@wm.com
104119,Waste Management of Orange County (Irvine),"(a DBA of USA Waste of California, Inc.)",Collector,Active,3/22/2006,16122 Construction Cir E ,Irvine,CA,92606,Orange,16122 Construction Cir E ,Irvine,CA,92606,(714) 558-7761,Ricardo Madrid,rmadrid@wm.com
101617,"Veolia ES Technical Solutions, L.L.C.",,Collector,Active,2/1/2005,1704 W 1st St ,Irwindale,CA,91702,Los Angeles,107 S Motor Ave ,Azusa,CA,91702,(626) 334-5117,Joshua Sytsma,joshua.sytsma@veolia.com
104006,E-Waste Recycling,"(a DBA of George Bonner Lancaster, Jr. and Richard Albert Barbezat)",Collector,Active,2/16/2006,15449 W A St ,Kerman,CA,93630,Fresno,14652 Sontag Rd ,Grass Valley,CA,95945,(408) 744-2843,"George B. Lancaster, Jr.",sunnymaxsyst@yahoo.com
103062,Mid-Valley Disposal,,Collector,Active,7/25/2005,15300 W Jensen Ave ,Kerman,CA,93630,Fresno,P.O. Box 12385 ,Fresno,CA,93777,(559) 237-9425,Nikole Ekizian,nikolee@midvalleydisposal.com
116804,"GreenTree Electronics Recycling, Inc.",,Collector,Active,2/18/2022,28052 Camino Capistrano #107,Laguna Niguel,CA,92677,Orange,28052 Camino Capistrano #107,Laguna Niguel,CA,92677,(800) 405-6308,Hamid Gholam,hamid@greentreerecycling.org
115647,So Cal E-Waste,(a DBA of David Humberto Orozco),Collector,Active,3/27/2014,570 Central Ave Suite J-3,Lake Elsinore,CA,92530,Riverside,570 Central Ave Suite J-3,Lake Elsinore,CA,92530,(951) 291-9962,David Humberto Orozco,david@socale-waste.com
127175,Green Leaf Recycling,(a DBA of Ahmad Houshangi),Collector,Active,8/7/2019,26244 Enterprise Ct ,Lake Forest,CA,92630,Orange,26244 Enterprise Ct ,Lake Forest,CA,92630,(949) 470-2700,Ahmad Houshangi,info@greenleafrecycling.net
107966,"Lake County Waste Solutions, Inc.",,Collector,Active,2/15/2008,230 Soda Bay Rd ,Lakeport,CA,95453,Lake,P.O. Box 60 ,Ukiah,CA,95482,(707) 234-6400,Kristine Gonzalez,kristine.gonzalez@wasteconnections.com
